"title","company","location","salary","job_url","description","posted_at","schedule_type","site"
"PHP Web Developer","Infitech Human Resources Service Pvt. Ltd.","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=5c01d1e8b7642ee6","**Share your resume with Mr. Samir \\- 7709 372 379** 

**Company Profile**

It is a great pleasure for us to introduce Publishing firm , India's leading and best seller educational publishing organization committed to publish textbooks, reference materialand learning aids in all subjects for students of Pre\\-schoolers till Grade 12\\.

We are pioneers in the field of publishing reference material series under the widely acclaimed,recommended and trusted brand of “Together With” among Education Fraternity.

We have been conducting interactive educational and motivational workshops in numerousschools – India \\& across the globe. We are the only Brand who ensures the student academic excellence through its quality and error free content.

**Key Responsibilities:**

● Develop and maintain web applications using PHP (Laravel)

● Work with MySQL, JavaScript, jQuery, AJAX, and JSON/XML

● Create and integrate RESTful APIs

● Write clean, efficient, and well\\-documented code

● Troubleshoot issues and optimize application performance

● Collaborate with other team members and departments

**Skills Required:** 

● PHP (Laravel), MySQL

● JavaScript, jQuery, AJAX

● JSON/XML parsing, REST API development

● Version control tools (e.g., Git)

● Knowledge of Google Apps (preferred)

Job Types: Full\\-time, Permanent

Pay: ₹30,000\\.00 \\- ₹60,000\\.00 per month

Work Location: In person","Not specified","Full-time","indeed"
"Dot Net Developer","WebMobril Technologies Pvt. Ltd.","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=fab572cbd9d0244c","**About US \\-:**  
**Webmobril** is One of the top\\-notch IT companies based in Delhi, NCR; India and also established in the US. Offering exclusive and affordable Web, Mobile, and Game app development, Cyber Security Assessment, Digital Marketing services globally. Recently we started Staffing Services and Travel \\& Tourism services . We are a team of experienced, dedicated enthusiastic, innovative, and creative professionals to serve a range of business goals with our advanced tools and technologies.

For more detail you can go through our company website:  
**https://www.webmobril.com/**

**JD for Dot Net Developer\\-**

· Object\\-Oriented Programming language (C\\#)

· Experience in ASP.NET Core and MVC.

· Hands on exp in SQL Server.

· Bachelor’s degree in Computer Science or related field

· Previous experience in game development or mobile app development is a plus

Job Type: Full\\-time

Pay: ₹40,000\\.00 \\- ₹70,000\\.00 per month

Benefits:

* Provident Fund

Schedule:

* Day shift
* Monday to Friday

Supplemental Pay:

* Performance bonus

Work Location: In person","Not specified","Full-time","indeed"
"UI/Front End Developer","Womennnovator","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=c1e5df06d74f226e","**Designation** UI/Front End Developer  

  

**Experience** – 2\\-5 Year  

  

We are looking for someone who is an expert in UI design or front\\-end development to join our growing company  

  

**Who can apply** – Candidate having 2\\-5 years of UI/front\\-end development experience. In\\-depth skills in writing JS code for performance and modularity. Ability to write well\\-abstracted, reusable and efficient code, and to correctly employ design patterns.  

  

**Requirements*** 2\\-5 years of experience into UI/Front End Development


* In\\-depth knowledge of Javascript
* Knowledge of ECMAScript 6


* Understanding of JS Frameworks like Angular.js or React.js is a plus


* Knowledge of CSS is a big plus


* Accuracy and attention to detail


* Self\\-development skills to keep up to date with fast\\-changing trends","Not specified","Full-time","indeed"
"Software Developer","Riskbirbal Insurance Brokers Pvt Ltd","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=849d316b35dfcfc7","Requirements

Technical Skills

* Backend Development (PHP, CI, Laravel):
* Proficient in PHP with hands\\-on experience in frameworks like CodeIgniter and Laravel.
* Strong knowledge of MVC architecture and RESTful API development.
* Experience in database design and management using MySQL or PostgreSQL.
* Good understanding of version control systems like Git.

Frontend Development:

* Proficiency in HTML5, CSS3, JavaScript, and responsive design techniques.
* Experience with front\\-end libraries/frameworks like Bootstrap, Tailwind CSS, or Vue.js (optional but beneficial).
* Mobile App Development (React Native)
* Solid understanding of React Native for building cross\\-platform mobile applications.
* Experience in integrating third\\-party libraries and APIs.

General Requirements:

* Familiarity with Agile development methodologies.
* Basic knowledge of cloud services like AWS, Azure, or Google Cloud (optional).
* Understanding of code optimization and performance tuning techniques.
* Knowledge of API integration and working with JSON/XML.

Soft Skills

* Strong problem\\-solving and analytical abilities.
* Effective communication skills to collaborate with cross\\-functional teams.
* Ability to work independently and manage time effectively.
* Adaptability to new technologies and tools.

Responsibilities

Core Responsibilities

Development:

* Develop, test, and maintain high\\-quality web applications using PHP (CI/Laravel).
* Build and deploy scalable mobile applications with React Native.
* Design and develop RESTful APIs for integration with front\\-end and mobile apps.

Code Maintenance:

* Write clean, maintainable, and efficient code.
* Conduct code reviews and provide constructive feedback to team members.
* Debugging \\& Troubleshooting:
* Identify and resolve bugs in web and mobile applications.
* Optimize application performance for speed and scalability.

Collaboration:

* Work closely with designers, product managers, and other developers to implement project requirements.
* Participate in daily stand\\-ups, sprint planning, and retrospectives.

Documentation:

* Create and maintain technical documentation for applications and workflows.
* Ensure clear and concise API documentation.

Deployment:

* Deploy applications to production environments and monitor performance.
* Manage app updates on the App Store and Google Play.

Additional Responsibilities

* Stay updated with the latest technologies and industry trends.
* Mentor junior developers and guide them on best practices.
* Provide input on architectural decisions and system designs.
* Ensure adherence to security and compliance standards.

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹25,000\\.00 \\- ₹30,000\\.00 per month

Benefits:

* Health insurance
* Provident Fund

Schedule:

* Day shift

Education:

* Bachelor's (Preferred)

Experience:

* PHP: 1 year (Preferred)
* Laravel: 1 year (Preferred)
* CI: 1 year (Preferred)

Work Location: In person","Not specified","Full-time","indeed"
"Dot Net Developer","Gupta Varun & Co","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=4253db8762fe6d7f","**Job Description:**

* Develop, Document, Test and Debug programs/objects.
* Perform application programming assignments, typically maintenance or modification of existing systems on a .NET platform
* Candidate would be working on the .NET Core, MVC Angular, WEB API, Entity Framework

**Desired Skills**

* Extensive Experience in the .NET Core, MVC Angular, WEB API, Entity Framework
* Applicants should have Core Programming skills in Visual Studio, ASP.NET, SQL Server (2014/16\\), HTML, CSS, Jquery, JavaScript, Web service / Web API, Entity framework, Angular, web applications.
* Should have good understanding in Object Oriented Programming (OOP) concepts
* Proven Skills with C\\#, SQL, JavaScript/DHTML, HTML\\-CSS, AJAX, jQuery, Web Services, etc
* Microservices skills are preferred.
* Web UI programming experience with Database(Any DB)Roles and Responsibilities

Job Type: Full\\-time

Pay: ₹15,000\\.00 \\- ₹55,497\\.83 per month

Schedule:

* Morning shift

Ability to commute/relocate:

* New Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)

Education:

* Bachelor's (Preferred)

Experience:

* .NET: 2 years (Preferred)
* total work: 4 years (Preferred)

Application Deadline: 30/04/2024","Not specified","Full-time","indeed"
"Junior Frontend Developer","AdPushup","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=cbea1bd2854f41af","**Junior Frontend Developer**
=============================

AdPushup is an award\\-winning ad revenue optimization platform and Google Certified Publishing Partner (GCPP), helping hundreds of web publishers grow their revenue using cutting\\-edge technology, premium demand partnerships, and proven ad ops expertise. Our team is a mix of engineers, marketers, product evangelists, and customer success specialists, united by a common goal of helping publishers succeed. We have a work culture that values expertise, ownership, and a collaborative spirit.


### **Job Overview:**



We’re looking for an enthusiastic and curious Frontend Developer to join our growing engineering team. The ideal candidate will have a strong technical background, quick adaptability, and a passion for solving large scale problems. This role will be pivotal in driving the successful delivery of high\\-quality software solutions and fostering a collaborative and innovative work environment.


### **Qualifications:**


* Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
* Experience: 0\\-1 years of experience in software development.


### **You should have:**


* A track record of being able to ship products, independently and/or as part of a small team.
* A strong body of prior front end work, including significant projects written in JavaScript.
* Mastery of JavaScript; expertise in most of the following technologies, and proficiency in all of them: jQuery, CSS, HTML5, AJAX.
* Deep understanding of closures, prototypal inheritance, DOM manipulation, HTTP, web security, cross browser compatibility challenges.
* Knowledge of object\\-oriented PHP.
* Good at debugging using dev consoles, firebug, firecookie, or any of your favorite tools.
* Willingness to provide top\\-notch support to our customers – everyone at the company is involved in the support directly.


### **Good to have:**


* Experience with NodeJS is an added advantage.
* Hands\\-on with a code repository like GIT, SVN.
* Familiar with project management tools like JIRA etc.
* Experience with NoSQL databases, preferably MongoDB.


### **Bonus Points:**


* Passionate about front end technologies, you have a curiosity that motivates you to experiment and keep on top of technical trends.
* Practitioner of progressive enhancement, and responsive UI design.
* Fearless – you’ll tackle a massive JavaScript codebase, and are willing to prototype crazy, awesome ideas.


### **At Adpushup, we have:**


* A culture of valuing our employees and promoting an autonomous, transparent, and ethical work environment.


* Talented and supportive peers who value your contributions.


* Challenging opportunities: learning happens outside the comfort\\-zone and that’s where our team likes to be – always pushing the boundaries and growing  

personally and professionally.


* Flexibility to work from home: We believe in work \\& performance instead of measuring conventional benchmarks like work\\-hours.


* Plenty of snacks and catered lunch.


* Transparency: an open, honest and direct communication with co\\-workers and business associates.","Not specified","Full-time","indeed"
"DevOps Engineer (Development)","Luxoft","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=e638fea462956c06","##### **Project description**

Worked in close collaboration with DevOps, Development, QA, and CQE teams to enhance and maintain the CI/CD environment for a complex firmware development lifecycle. The focus was on automating firmware build and test processes across multiple platforms, improving system reliability, and accelerating release velocity.


##### **Responsibilities**


Collaborate with DevOps, Dev, QA, and CQE teams.


Ongoing maintenance of CI/CD env, proactively track breakage \\& provide fixes


Enable automation of Firmware builds and testing across different platforms


Drive improvements to builds, testing, automation scripts.


Automate technologies to improve the velocity and quality of engineering efforts


##### **Skills**


Must have


Hands\\-on experience in developing and maintaining build infrastructure and tools


Proficient with CI/CD tooling/frameworks such as Jira, Jenkins, Github, etc.,


Proficient with Linux, Windows OS administration


Knowledge in building embedded software, familiarity with QEMU is a big plus


Familiar with Cloud Concepts/Technologies


Good knowledge of underlying test and build infrastructure (Servers and Switches


pxe, IPMI, APC, VLAN, Routing, etc.,)


Working knowledge/Experience in scripting languages (preferably Python), ability to write clean, debuggable software


Nice to have


B.Tech


##### **Other**


Languages


English: B2 Upper Intermediate


Seniority


Regular


  
New Delhi, India


Req. VR\\-114590


DevOps


Automotive Industry


27/05/2025


Req. VR\\-114590","Not specified","Full-time","indeed"
"Full Stack Developer","IORA Ecological Solutions Pvt. Ltd","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=93543e707620f9a9","**Job Type:** Full Time
**Job Location:** New Delhi
**Job Description**


**Job Type:** Full time


**Project Location:** New Delhi, India


**Number of Positions:** 1


**Start Date:** Immediate


**Job Description**

IORA is looking for a dynamic and versatile Full Stack Developer to join its technology team. The selected candidate will contribute to the development of both geospatial and non\\-geospatial web\\-based applications that support environmental sustainability, climate resilience, and natural resource management. This includes building scalable platforms that assist government bodies, private stakeholders, and community organizations in areas such as land use monitoring, carbon assessment, and data\\-driven decision\\-making. The developer will be responsible for designing and implementing robust system architectures, integrating frontend and backend components, and ensuring high performance, security, and usability across various digital solutions.


**Roles and Responsibilities**


* Design components by translating product requirements, break down project into tasks and provide accurate estimates
* Translate product requirements into system components, tasks, and timelines.
* Develop clean, maintainable, and scalable code for both backend and frontend applications.
* Build high\\-performance, secure, and responsive web applications.
* Design and integrate RESTful APIs and services for data exchange.
* Collaborate with UI/UX designers and frontend developers to implement seamless user experiences.
* Ensure robust data protection and security measures throughout the application.
* Work with databases such as PostgreSQL, MongoDB, and MySQL to manage and retrieve data efficiently.
* Perform unit testing and debugging to ensure code quality and system reliability.
* Stay updated with the latest development trends, tools, and technologies


**Job Requirements**


* Bachelor’s degree in Computer Science, Information Technology, or a related field.
* Minimum 5 years of hands\\-on experience in full\\-stack development.
* Proficiency in Python with experience in frameworks such as Django and Flask.
* Strong command of JavaScript and modern frontend frameworks/libraries like React, Angular, or Vue.js.
* Solid understanding of HTML5, CSS3, and responsive design principles.
* Experience with Object\\-Relational Mapping (ORM), RESTful API development, and server\\-side templating.
* Knowledge of user authentication/authorization across systems.
* Proven experience in building scalable architectures and optimizing system performance.
* Proficiency in version control systems such as Git.
* Familiarity with cloud deployment, CI/CD pipelines, and Docker is a plus.
* Basic understanding of Remote Sensing and GIS technologies is an added advantage.
* Excellent problem\\-solving skills, attention to detail, and ability to work in a collaborative environment.","Not specified","Full-time","indeed"
"Senior Dot Net Developer","Eagle Software India Pvt Ltd","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=6907b0bb8b477811","1\\. **Technical Expert**

**We are looking for a full\\-stack .NET developer with solid experience in .NET Core and a strong working knowledge of MS SQL.**

* Qulification \\- BE, MCA
* Experience in application software design delivery
* Knowlege of agile methodologies, SOA, Microservice architeceture

Calls us on 7550186111

Job Type: Full\\-time

Pay: ₹400,000\\.00 \\- ₹700,000\\.00 per month

Benefits:

* Health insurance
* Life insurance
* Provident Fund

Location Type:

* In\\-person

Schedule:

* Day shift

Work Location: In person

**Speak with the employer**  
\\+91 7550186111","Not specified","Full-time","indeed"
"React Developer for Training AI Data","G2i Inc.","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=3d62925a7aa12561","### **Accepted Locations**


We accept applicants from the US, Canada, and most countries in LATAM and Europe. We are also accepting candidates from some countries in Africa and Asia. For the complete list of accepted locations, click here. This work is 100% remote.

**Loom Video**


Our Founder/CEO, Gabe Greenberg, created an in\\-depth Loom video that we highly recommend you watch! Check it out here: Loom Video

**Overview**


Join our expert annotation team to create training data for the world's most advanced AI models. No previous AI experience is necessary. You'll get your foot in the door with one of the most prominent players in the AI/LLM space today. We're primarily seeking JavaScript/React developers with 3\\+ years of experience to train large AI language models, helping cutting\\-edge generative AI models write better frontend code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. We currently have 200\\+ roles open!

**What Will I Be Doing?**

* Evaluating the quality of AI\\-generated code, including human\\-readable summaries of your rationale.
* Building and evaluating React components, hooks, and modern JavaScript solutions.
* Solving coding problems and writing functional and efficient JavaScript/React code.
* Writing robust test cases to confirm code works efficiently and effectively.
* Creating instructions to help others and reviewing code before it goes into the model.
* Engaging in a variety of projects, from evaluating code snippets to developing full mobile applications using chatbots.

**Pay Rates**


Compensation rates average at $30/hr and can go up to $50\\+/hr. Expectations are 15\\+ hours per week; however, there is no upper limit. You can work as much as you want and will be paid weekly per hour of work done on the platform.

**Contract Length**


This is a long\\-term contract with no end date. We expect to have work for the next 2 years. You can end the contract at any time, but we hope you will commit to 12 months of work.

**Flexible Schedules**


Developers can set their own hours. Ideal candidates will be interested in spending 40 hours a week. You will be assigned to projects, so strong performers will adapt to the urgency of projects and stay engaged, but we are incredibly flexible on working hours. You can take a 3\\-hour lunch with no problem. Instead of tracking your hours, you are paid according to time spent on the platform, calculated in the coding exercises.

**Interview Process**

* Apply using this Ashby form.
* If you seem like a good fit, we'll send an async RLHF code review that will take 35 minutes and must be finished within 72 hours of us sending it.
* You’ll receive credentials to the RLHF platform. We’re doing regular calls to answer any further questions about onboarding, as well as providing a support team at your disposal.
* You’ll perform a simulated production\\-level task (RLHF task) on the platform. This will be the final stage, which will ultimately determine your leveling and which project you’ll be assigned. Successful completion of this process provides you with an opportunity to work on projects as they become available.

**Tech Stack Priorities**


The current priority for this team is frontend engineers who are well versed in JavaScript, React, and modern web development frameworks and libraries.

**Required Qualifications**

* 3\\+ years of experience in a software engineering/software development role.
* Strong proficiency with JavaScript/React and frontend development.
* Complete fluency in the English language.
* Ability to articulate complex technical concepts clearly and engagingly.
* Excellent attention to detail and ability to maintain consistency in writing. Solid understanding of grammar, punctuation, and style guidelines.

**Nice To Haves:**

* Bachelor's or Master's degree in Computer Science.
* Experience with modern JavaScript frameworks and libraries (Next.js, Vue, Angular).
* Familiarity with frontend testing frameworks (Jest, React Testing Library, Cypress).
* Knowledge of state management solutions (Redux, Context API, MobX).
* Experience with TypeScript and modern frontend tooling.
* Recognized accomplishments or contributions to the coding community or in projects.
* Proven analytical skills with an ability to approach problems creatively.
* Adept communication skills, especially when understanding and discussing project requirements.
* A commitment to continuous learning and staying updated with the latest coding advancements and best practices.
* Enthusiasm for teaching AI models and experience with technical writing!


If you're passionate about JavaScript, React, and the future of frontend development, this is an excellent opportunity to contribute to cutting\\-edge AI technology while leveraging your expertise!","Not specified","Contract","indeed"
